label,champion_name,ranking_tier,ranking_code,ranking_faction_code,ranking_faction_name,ranking_rarity_code,ranking_rarity_name,ranking_role_code,ranking_role_name,ranking_affinity_code,ranking_affinity_name,ranking_order,ranking_index_url,source_url,source_image_url,raw_page_path,raw_image_path,processed_image_path,debug_image_path,crop_box,image_width,image_height
abbess,Abbess,A,SO-LAF,SO,The Sacred Order,L,Legendary,A,Attack,F,Force,115,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-abbess-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Abbess.jpg,data/raw/pages/raid_shadow_legends_abbess_skill_mastery_equip_guide.html,data/raw/images/abbess_5c77669ec7.jpg,data/processed/icons/abbess.png,data/processed/debug/abbess_crop_debug.jpg,"14,378,197,532",48,64
abyssal,Abyssal,B,DS-RSS,DS,Demonspawn,R,Rare,S,Support,S,Spirit,717,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-abyssal-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Abyssal.jpg,data/raw/pages/raid_shadow_legends_abyssal_skill_mastery_equip_guide.html,data/raw/images/abyssal_d50b01e8e5.jpg,data/processed/icons/abyssal.png,data/processed/debug/abyssal_crop_debug.jpg,"14,378,197,532",48,64
acelin_the_stalwart,Acelin the Stalwart,S,BL-LDS,BL,Banner Lords,L,Legendary,D,Defense,S,Spirit,40,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-acelin-the-stalwart-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Acelin_the_Stalwart.jpg,data/raw/pages/raid_shadow_legends_acelin_the_stalwart_skill_mastery_equip_guide.html,data/raw/images/acelin_the_stalwart_224b0db922.jpg,data/processed/icons/acelin_the_stalwart.png,data/processed/debug/acelin_the_stalwart_crop_debug.jpg,"14,378,197,532",48,64
achak_the_wendarin,Achak the Wendarin,B,DS-ESF,DS,Demonspawn,E,Epic,S,Support,F,Force,489,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-achak-the-wendarin-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Achak_the_Wendarin.jpg,data/raw/pages/raid_shadow_legends_achak_the_wendarin_skill_mastery_equip_guide.html,data/raw/images/achak_the_wendarin_6937ae5087.jpg,data/processed/icons/achak_the_wendarin.png,data/processed/debug/achak_the_wendarin_crop_debug.jpg,"14,378,197,532",48,64
acolyte,Acolyte,C,KR-RSF,KR,Knights Revenant,R,Rare,S,Support,F,Force,777,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-acolyte-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Acolyte.jpg,data/raw/pages/raid_shadow_legends_acolyte_skill_mastery_equip_guide.html,data/raw/images/acolyte_ed0bfb30ae.jpg,data/processed/icons/acolyte.png,data/processed/debug/acolyte_crop_debug.jpg,"14,378,197,532",48,64
acolyte_of_the_slither,Acolyte of the Slither,A,AR-RSS,AR,Argonites,R,Rare,S,Support,S,Spirit,704,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-acolyte-of-the-slither-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Acolyte_of_the_Slither.jpg,data/raw/pages/raid_shadow_legends_acolyte_of_the_slither_skill_mastery_equip_guide.html,data/raw/images/acolyte_of_the_slither_26a6c0e348.jpg,data/processed/icons/acolyte_of_the_slither.png,data/processed/debug/acolyte_of_the_slither_crop_debug.jpg,"14,378,197,532",48,64
acrizia,Acrizia,S,DW-LAV,DW,Dwarves,L,Legendary,A,Attack,V,Void,41,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-acrizia-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Acrizia.jpg,data/raw/pages/raid_shadow_legends_acrizia_skill_mastery_equip_guide.html,data/raw/images/acrizia_9da804f476.jpg,data/processed/icons/acrizia.png,data/processed/debug/acrizia_crop_debug.jpg,"14,378,197,532",48,64
adjudicator,Adjudicator,C,HE-RAM,HE,High Elves,R,Rare,A,Attack,M,Magic,778,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-adjudicator-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Adjudicator.jpg,data/raw/pages/raid_shadow_legends_adjudicator_skill_mastery_equip_guide.html,data/raw/images/adjudicator_b2ead5187e.jpg,data/processed/icons/adjudicator.png,data/processed/debug/adjudicator_crop_debug.jpg,"14,378,197,532",48,64
admiral_blacktusk,Admiral Blacktusk,A,DW-LSS,DW,Dwarves,L,Legendary,S,Support,S,Spirit,116,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-admiral-blacktusk-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Admiral_Blacktusk.jpg,data/raw/pages/raid_shadow_legends_admiral_blacktusk_skill_mastery_equip_guide.html,data/raw/images/admiral_blacktusk_7b60ee52c4.jpg,data/processed/icons/admiral_blacktusk.png,data/processed/debug/admiral_blacktusk_crop_debug.jpg,"14,378,197,532",48,64
adriel,Adriel,C,SO-ESM,SO,The Sacred Order,E,Epic,S,Support,M,Magic,637,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-adriel-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Adriel.jpg,data/raw/pages/raid_shadow_legends_adriel_skill_mastery_equip_guide.html,data/raw/images/adriel_404c71dd4d.jpg,data/processed/icons/adriel.png,data/processed/debug/adriel_crop_debug.jpg,"14,378,197,532",48,64
