epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2944,1.8208,3.65108,1.30974,0.00446,0.9881,0.37978,0.11867,1.76769,3.99668,1.19311,0.0003,0.0003,0.0003
2,122.558,1.79194,1.95278,1.26645,0.00441,0.97619,0.05748,0.02021,1.59766,3.85153,1.18181,0.000613862,0.000613862,0.000613862
3,178.995,1.75674,1.76612,1.27409,0.00441,0.97619,0.01049,0.00424,1.67647,3.78393,1.29827,0.000921388,0.000921388,0.000921388
4,232.673,1.77416,1.71124,1.32823,0.00435,0.96429,0.01291,0.00596,1.73581,3.72304,1.32708,0.00122258,0.00122258,0.00122258
5,286.363,1.72422,1.52069,1.29896,0.92174,0.28052,0.78159,0.32204,1.80595,3.28479,1.38078,0.00151743,0.00151743,0.00151743
6,340.193,1.78981,1.45955,1.36063,0.83136,0.59524,0.79386,0.34109,1.80805,2.89111,1.45966,0.00180595,0.00180595,0.00180595
7,393.981,1.70374,1.4565,1.31568,0.868,0.31321,0.65121,0.28156,1.88939,2.8482,1.52956,0.0018812,0.0018812,0.0018812
8,448.154,1.77834,1.45201,1.32419,0.8263,0.67857,0.79448,0.35438,1.84687,2.35277,1.47396,0.0018614,0.0018614,0.0018614
9,501.706,1.7037,1.4029,1.30935,0.86295,0.82458,0.91576,0.40093,1.91706,1.67029,1.6525,0.0018416,0.0018416,0.0018416
10,555.793,1.73365,1.19625,1.34039,0.90283,0.86905,0.87507,0.37205,1.9337,1.42713,1.75667,0.0018218,0.0018218,0.0018218
11,610.435,1.67229,1.12645,1.3497,0.84372,0.90476,0.87644,0.40922,1.87411,1.35172,1.68828,0.001802,0.001802,0.001802
12,664.604,1.75214,1.14411,1.41434,0.89183,0.90476,0.92935,0.43236,1.82103,1.34538,1.57349,0.0017822,0.0017822,0.0017822
13,718.849,1.69411,1.18386,1.3569,0.90184,0.87506,0.90473,0.40687,1.86033,1.38363,1.61113,0.0017624,0.0017624,0.0017624
14,771.891,1.70934,1.07612,1.38381,0.89482,0.89286,0.92652,0.39437,1.82444,1.23507,1.56821,0.0017426,0.0017426,0.0017426
15,825.214,1.64088,1.08124,1.34926,0.89462,0.89286,0.92384,0.39861,1.93835,1.18168,1.64826,0.0017228,0.0017228,0.0017228
16,878.029,1.7966,1.07687,1.36963,0.85603,0.88095,0.88895,0.38288,1.89061,1.22317,1.66495,0.001703,0.001703,0.001703
