slot,grid_y,grid_x,corr
slot_2,10,6,-0.19538944768919975
slot_2,10,7,-0.14552909711311043
slot_3,4,0,-0.14276633748284098
slot_2,5,12,-0.14116366754046233
slot_3,11,0,0.13921145221735026
slot_2,10,12,-0.13756941157605726
slot_1,10,12,-0.124310700924369
slot_3,10,2,0.12414172991077803
slot_1,1,11,-0.1238108422773161
slot_3,4,1,0.1224653108646357
slot_1,5,12,-0.12174147050133675
slot_2,4,12,-0.12110335115468979
slot_1,10,2,0.12023944977452933
slot_1,10,7,-0.11967318330176603
slot_2,11,3,-0.11920504891999821
slot_2,10,2,0.11852875314141957
slot_2,11,6,-0.1184400655451232
slot_1,11,10,-0.11825467548610723
slot_3,1,11,-0.11805397740121568
slot_2,6,3,-0.11766421782686604
slot_1,5,11,-0.11666708940073461
slot_1,6,11,-0.11665579383738711
slot_2,7,3,-0.11643110316711083
slot_3,10,3,-0.114184681911615
slot_3,3,12,-0.11417656852183616
slot_1,4,12,-0.1138267964809397
slot_2,5,11,-0.11313534165403347
slot_3,4,12,-0.11198628359732021
slot_1,1,12,-0.1111178997265785
slot_1,9,8,-0.10844641316090181
slot_1,8,4,-0.10693584519362122
slot_1,9,3,-0.103845506948998
slot_1,10,13,-0.10354127693201508
slot_2,3,3,-0.10293946788809843
slot_3,4,2,-0.1017865093756414
slot_1,6,10,-0.10173730636164068
slot_1,10,8,-0.10046640167520678
slot_2,1,3,-0.1002502654701221
slot_2,1,7,-0.10007481601783877
slot_2,8,3,-0.09958581342026185
slot_2,10,11,-0.09913953006276371
slot_1,11,12,-0.09905004936133806
slot_1,7,4,-0.0984138260681301
slot_1,8,3,-0.09828275086768852
slot_2,3,12,-0.09670794454667447
slot_2,8,7,-0.09640746916774993
slot_1,3,11,-0.09625576123367291
slot_2,11,4,-0.09580927897366161
slot_3,10,6,-0.09552074161302412
slot_1,8,13,-0.09535133985595881
slot_2,11,7,-0.0951835707580558
slot_1,2,12,-0.09494712160838498
slot_2,9,9,-0.0947632285215061
slot_2,2,3,-0.09411597967417287
slot_2,12,7,-0.09403645392517682
slot_2,6,4,-0.09379399352021286
slot_2,9,3,-0.09369715429053467
slot_2,7,7,-0.09313892429469413
slot_3,12,0,0.09274274686608615
slot_1,9,13,-0.09199074555188755
slot_2,4,2,-0.09106279188657898
slot_2,11,5,-0.09084963461425286
slot_1,11,9,-0.0900467094112288
slot_3,4,8,-0.08990456066891614
slot_1,8,8,-0.08974823484903659
slot_3,6,11,-0.08968759756269803
slot_2,10,3,-0.08960946834107875
slot_3,7,11,-0.08954340154422354
slot_2,6,7,-0.08944777382502084
slot_3,2,12,-0.08903218524375461
slot_2,10,4,-0.08875753493492936
slot_2,6,11,-0.0884024413495881
slot_3,6,6,-0.08836847212781272
slot_3,2,11,-0.08803083864861101
slot_1,7,3,-0.08775758590455907
slot_3,11,4,-0.08771856064001635
slot_3,1,12,-0.08761345329059106
slot_3,5,12,-0.08707744175089703
slot_1,1,0,-0.08657421045687017
